Unnamed: 0,Law,state,City,Type,State
1.0,You may not wear blue jeans down Noble Street.,Alabama,Anniston,Real,
2.0,Bear wrestling matches are prohibited.,Alabama,,Real,
3.0,Dominoes may not be played on Sunday.,Alabama,,Real,
4.0,It is illegal for a driver to be blindfolded while operating a vehicle.,Alabama,,Real,
5.0,It is illegal to wear a fake moustache that causes laughter in church.,Alabama,,Real,
6.0,It is legal to drive the wrong way down a one-way street if you have a lantern attached to the front of your automobile.,Alabama,,Real,
7.0,"It is considered an offense to open an umbrella on a street, for fear of it spooking horses.",Alabama,Montgomery,Real,
8.0,You cannot chain your alligator to a fire hydrant.,Alabama,,Real,
9.0,You may not drive barefooted.,Alabama,,Real,
10.0,You may not have an ice cream cone in your back pocket at any time.,Alabama,,Real,
11.0,"Even though it is legal to hunt a bear, it is illegal to wake a bear and take a picture for photo opportunities.",Alaska,,Real,
12.0,In Alaska it is illegal to whisper in someone's ear while they are moose hunting.,Alaska,,Real,
13.0,It is considered an offense to push a live moose out of a moving airplane.,Alaska,,Real,
14.0,Kangaroos are not allowed in barber shops at any time.,Alaska,,Real,
15.0,Moose may not be viewed from an airplane.,Alaska,,Real,
16.0,Donkeys cannot sleep in bathtubs.,Arizona,,Real,
17.0,Cars may not be driven in reverse.,Arizona,Glendale,Real,
18.0,Hunting camels is prohibited.,Arizona,,Real,
19.0,It is illegal for men and women over the age of 18 to have less than one missing tooth visible when smiling.,Arizona,,Real,
20.0,It is unlawful to refuse a person a glass of water.,Arizona,,Real,
21.0,A decree declares that anyone caught stealing soap must wash with it until it is all used up.,Arizona,Mohave County,Real,
22.0,A law provides that school teachers who bob their hair will not get a raise.,Arkansas,,Real,
23.0,Alligators may not be kept in bathtubs.,Arkansas,,Real,
24.0,"Arkansas must be pronounced ""Arkansaw""",Arkansas,,Real,
25.0,In Arkansas it is illegal to buy or sell blue light bulbs.,Arkansas,,Real,
27.0,Nobody is allowed to ride a bicycle in a swimming pool.,California,Baldwin Park,Real,
28.0,You are not permitted to wear cowboy boots unless you already own at least two cows.,California,Blythe,Real,
29.0,"It is illegal to spit, except on baseball diamonds; Carmel Ice cream may not be eaten while standing on the sidewalk. (Repealed when Clint Eastwood was mayor); Women may not wear high heels while in the city limits.",California,Burlingame,Real,
